Group,SourceType,SQL
,trclog,"SELECT * FROM fn_trace_gettable('C:\\\\Program Files\\\\Microsoft SQL Server\\\\MSSQL11.MSSQLSERVER\\\\MSSQL\\\\Log\\\\log.trc',default) WHERE StartTime > ? ORDER BY StartTime ASC"
,audit,"SELECT * FROM sys.fn_get_audit_file ('C:\\\\SQLAudit\\\\*',default,default) WHERE event_time > ? ORDER BY event_time ASC"
,process,"SELECT a.*, b.name,CONVERT(varchar(128),SERVERPROPERTY('ServerName')) AS ServerName, db_name() AS DatabaseName FROM sys.sysprocesses a JOIN sys.databases b ON a.dbid = b.database_id"
,database,"SELECT *,CONVERT(varchar(128),SERVERPROPERTY('ServerName')) AS ServerName, db_name() AS DatabaseName FROM sys.databases"
,instance,"SELECT CONVERT(varchar(128),SERVERPROPERTY('ProductVersion')) AS ProductVersion, CONVERT(varchar(128),SERVERPROPERTY('ProductLevel')) AS ProductLevel, CONVERT(varchar(128),SERVERPROPERTY('Edition')) AS Edition, CONVERT(varchar(128),SERVERPROPERTY('EngineEdition')) AS EngineEdition, db_name() AS DatabaseName, CONVERT(varchar(128),SERVERPROPERTY('ServerName')) AS ServerName, CONVERT(varchar(128),SERVERPROPERTY('SqlCharSetName')) AS SqlCharSetName, CONVERT(varchar(128),SERVERPROPERTY('Collation')) AS Collation, CONVERT(varchar(128),@@MAX_CONNECTIONS) AS MaxConnections"
,instancestats,"SELECT @@TOTAL_READ as total_reads,@@TOTAL_WRITE as total_writes,@@TOTAL_ERRORS as total_errors,COUNT(session_id) as total_sessions, COUNT(DISTINCT login_name) as total_users,CONVERT(varchar(128),SERVERPROPERTY('ServerName')) AS ServerName, db_name() AS DatabaseName FROM sys.dm_exec_sessions"
,table,"SELECT t.NAME AS TableName, t.modify_date AS ModifyTime, s.Name AS SchemaName, p.rows AS RowCounts, SUM(a.used_pages) * 8 AS TableSizeKB, CONVERT(varchar(128),SERVERPROPERTY('ServerName')) AS ServerName, db_name() AS DatabaseName FROM sys.tables t INNER JOIN sys.indexes i ON t.OBJECT_ID = i.object_id INNER JOIN sys.partitions p ON i.object_id = p.OBJECT_ID AND i.index_id = p.index_id INNER JOIN sys.allocation_units a ON p.partition_id = a.container_id LEFT OUTER JOIN sys.schemas s ON t.schema_id = s.schema_id GROUP BY t.Name,t.modify_date, s.Name, p.Rows"
,user,"SELECT name, principal_id, type, type_desc, is_disabled, create_date, modify_date, CONVERT(varchar(128),SERVERPROPERTY('ServerName')) AS ServerName, db_name() AS DatabaseName FROM sys.sql_logins"
Alwayson,dm hadr auto page repair,"SELECT *,CONVERT(varchar(128),SERVERPROPERTY('ServerName')) AS ServerName, db_name() AS DatabaseName FROM sys.dm_hadr_auto_page_repair"
Alwayson,dm hadr availability group states,"SELECT *,CONVERT(varchar(128),SERVERPROPERTY('ServerName')) AS ServerName, db_name() AS DatabaseName FROM sys.dm_hadr_availability_group_states"
